-1,-1,RootNode
1,-1,default
2,-1,Eyes
3,-1,Body
4,-1,Shoes
5,-1,Tops
6,-1,Bottoms
7,-1,mixamorig:Hips
8,7,mixamorig:Spine_$AssimpFbx$_Translation
9,8,mixamorig:Spine_$AssimpFbx$_PreRotation
10,9,mixamorig:Spine_$AssimpFbx$_Rotation
11,10,mixamorig:Spine
12,11,mixamorig:Spine1_$AssimpFbx$_Translation
13,12,mixamorig:Spine1_$AssimpFbx$_PreRotation
14,13,mixamorig:Spine1
15,14,mixamorig:Spine2
16,15,mixamorig:Neck_$AssimpFbx$_Translation
17,16,mixamorig:Neck
18,17,mixamorig:Head
19,18,mixamorig:HeadTop_End
20,18,mixamorig:RightEye
21,18,mixamorig:LeftEye
22,15,mixamorig:LeftShoulder_$AssimpFbx$_Translation
23,22,mixamorig:LeftShoulder_$AssimpFbx$_PreRotation
24,23,mixamorig:LeftShoulder_$AssimpFbx$_Rotation
25,24,mixamorig:LeftShoulder
26,25,mixamorig:LeftArm_$AssimpFbx$_Translation
27,26,mixamorig:LeftArm_$AssimpFbx$_PreRotation
28,27,mixamorig:LeftArm_$AssimpFbx$_Rotation
29,28,mixamorig:LeftArm
30,29,mixamorig:LeftForeArm_$AssimpFbx$_Translation
31,30,mixamorig:LeftForeArm_$AssimpFbx$_PreRotation
32,31,mixamorig:LeftForeArm_$AssimpFbx$_Rotation
33,32,mixamorig:LeftForeArm
34,33,mixamorig:LeftHand_$AssimpFbx$_Translation
35,34,mixamorig:LeftHand_$AssimpFbx$_PreRotation
36,35,mixamorig:LeftHand_$AssimpFbx$_Rotation
37,36,mixamorig:LeftHand
38,37,mixamorig:LeftHandMiddle1_$AssimpFbx$_Translation
39,38,mixamorig:LeftHandMiddle1_$AssimpFbx$_PreRotation
40,39,mixamorig:LeftHandMiddle1_$AssimpFbx$_Rotation
41,40,mixamorig:LeftHandMiddle1
42,41,mixamorig:LeftHandMiddle2_$AssimpFbx$_Translation
43,42,mixamorig:LeftHandMiddle2_$AssimpFbx$_PreRotation
44,43,mixamorig:LeftHandMiddle2_$AssimpFbx$_Rotation
45,44,mixamorig:LeftHandMiddle2
46,45,mixamorig:LeftHandMiddle3_$AssimpFbx$_Translation
47,46,mixamorig:LeftHandMiddle3_$AssimpFbx$_PreRotation
48,47,mixamorig:LeftHandMiddle3_$AssimpFbx$_Rotation
49,48,mixamorig:LeftHandMiddle3
50,49,mixamorig:LeftHandMiddle4
51,37,mixamorig:LeftHandThumb1_$AssimpFbx$_Translation
52,51,mixamorig:LeftHandThumb1_$AssimpFbx$_PreRotation
53,52,mixamorig:LeftHandThumb1_$AssimpFbx$_Rotation
54,53,mixamorig:LeftHandThumb1
55,54,mixamorig:LeftHandThumb2_$AssimpFbx$_Translation
56,55,mixamorig:LeftHandThumb2_$AssimpFbx$_PreRotation
57,56,mixamorig:LeftHandThumb2_$AssimpFbx$_Rotation
58,57,mixamorig:LeftHandThumb2
59,58,mixamorig:LeftHandThumb3_$AssimpFbx$_Translation
60,59,mixamorig:LeftHandThumb3_$AssimpFbx$_PreRotation
61,60,mixamorig:LeftHandThumb3_$AssimpFbx$_Rotation
62,61,mixamorig:LeftHandThumb3
63,62,mixamorig:LeftHandThumb4
64,37,mixamorig:LeftHandIndex1_$AssimpFbx$_Translation
65,64,mixamorig:LeftHandIndex1_$AssimpFbx$_PreRotation
66,65,mixamorig:LeftHandIndex1_$AssimpFbx$_Rotation
67,66,mixamorig:LeftHandIndex1
68,67,mixamorig:LeftHandIndex2_$AssimpFbx$_Translation
69,68,mixamorig:LeftHandIndex2_$AssimpFbx$_Rotation
70,69,mixamorig:LeftHandIndex2
71,70,mixamorig:LeftHandIndex3_$AssimpFbx$_Translation
72,71,mixamorig:LeftHandIndex3_$AssimpFbx$_PreRotation
73,72,mixamorig:LeftHandIndex3_$AssimpFbx$_Rotation
74,73,mixamorig:LeftHandIndex3
75,74,mixamorig:LeftHandIndex4
76,37,mixamorig:LeftHandRing1_$AssimpFbx$_Translation
77,76,mixamorig:LeftHandRing1_$AssimpFbx$_PreRotation
78,77,mixamorig:LeftHandRing1_$AssimpFbx$_Rotation
79,78,mixamorig:LeftHandRing1
80,79,mixamorig:LeftHandRing2_$AssimpFbx$_Translation
81,80,mixamorig:LeftHandRing2_$AssimpFbx$_PreRotation
82,81,mixamorig:LeftHandRing2_$AssimpFbx$_Rotation
83,82,mixamorig:LeftHandRing2
84,83,mixamorig:LeftHandRing3_$AssimpFbx$_Translation
85,84,mixamorig:LeftHandRing3_$AssimpFbx$_PreRotation
86,85,mixamorig:LeftHandRing3_$AssimpFbx$_Rotation
87,86,mixamorig:LeftHandRing3
88,87,mixamorig:LeftHandRing4
89,37,mixamorig:LeftHandPinky1_$AssimpFbx$_Translation
90,89,mixamorig:LeftHandPinky1_$AssimpFbx$_PreRotation
91,90,mixamorig:LeftHandPinky1_$AssimpFbx$_Rotation
92,91,mixamorig:LeftHandPinky1
93,92,mixamorig:LeftHandPinky2_$AssimpFbx$_Translation
94,93,mixamorig:LeftHandPinky2_$AssimpFbx$_PreRotation
95,94,mixamorig:LeftHandPinky2_$AssimpFbx$_Rotation
96,95,mixamorig:LeftHandPinky2
97,96,mixamorig:LeftHandPinky3_$AssimpFbx$_Translation
98,97,mixamorig:LeftHandPinky3_$AssimpFbx$_Rotation
99,98,mixamorig:LeftHandPinky3
100,99,mixamorig:LeftHandPinky4
101,15,mixamorig:RightShoulder_$AssimpFbx$_Translation
102,101,mixamorig:RightShoulder_$AssimpFbx$_PreRotation
103,102,mixamorig:RightShoulder_$AssimpFbx$_Rotation
104,103,mixamorig:RightShoulder
105,104,mixamorig:RightArm_$AssimpFbx$_Translation
106,105,mixamorig:RightArm_$AssimpFbx$_PreRotation
107,106,mixamorig:RightArm_$AssimpFbx$_Rotation
108,107,mixamorig:RightArm
109,108,mixamorig:RightForeArm_$AssimpFbx$_Translation
110,109,mixamorig:RightForeArm_$AssimpFbx$_PreRotation
111,110,mixamorig:RightForeArm_$AssimpFbx$_Rotation
112,111,mixamorig:RightForeArm
113,112,mixamorig:RightHand_$AssimpFbx$_Translation
114,113,mixamorig:RightHand_$AssimpFbx$_PreRotation
115,114,mixamorig:RightHand_$AssimpFbx$_Rotation
116,115,mixamorig:RightHand
117,116,mixamorig:RightHandMiddle1_$AssimpFbx$_Translation
118,117,mixamorig:RightHandMiddle1_$AssimpFbx$_PreRotation
119,118,mixamorig:RightHandMiddle1_$AssimpFbx$_Rotation
120,119,mixamorig:RightHandMiddle1
121,120,mixamorig:RightHandMiddle2_$AssimpFbx$_Translation
122,121,mixamorig:RightHandMiddle2_$AssimpFbx$_PreRotation
123,122,mixamorig:RightHandMiddle2_$AssimpFbx$_Rotation
124,123,mixamorig:RightHandMiddle2
125,124,mixamorig:RightHandMiddle3_$AssimpFbx$_Translation
126,125,mixamorig:RightHandMiddle3_$AssimpFbx$_PreRotation
127,126,mixamorig:RightHandMiddle3_$AssimpFbx$_Rotation
128,127,mixamorig:RightHandMiddle3
129,128,mixamorig:RightHandMiddle4
130,116,mixamorig:RightHandThumb1_$AssimpFbx$_Translation
131,130,mixamorig:RightHandThumb1_$AssimpFbx$_PreRotation
132,131,mixamorig:RightHandThumb1_$AssimpFbx$_Rotation
133,132,mixamorig:RightHandThumb1
134,133,mixamorig:RightHandThumb2_$AssimpFbx$_Translation
135,134,mixamorig:RightHandThumb2_$AssimpFbx$_PreRotation
136,135,mixamorig:RightHandThumb2_$AssimpFbx$_Rotation
137,136,mixamorig:RightHandThumb2
138,137,mixamorig:RightHandThumb3_$AssimpFbx$_Translation
139,138,mixamorig:RightHandThumb3_$AssimpFbx$_PreRotation
140,139,mixamorig:RightHandThumb3_$AssimpFbx$_Rotation
141,140,mixamorig:RightHandThumb3
142,141,mixamorig:RightHandThumb4
143,116,mixamorig:RightHandIndex1_$AssimpFbx$_Translation
144,143,mixamorig:RightHandIndex1_$AssimpFbx$_PreRotation
145,144,mixamorig:RightHandIndex1_$AssimpFbx$_Rotation
146,145,mixamorig:RightHandIndex1
147,146,mixamorig:RightHandIndex2_$AssimpFbx$_Translation
148,147,mixamorig:RightHandIndex2_$AssimpFbx$_PreRotation
149,148,mixamorig:RightHandIndex2_$AssimpFbx$_Rotation
150,149,mixamorig:RightHandIndex2
151,150,mixamorig:RightHandIndex3_$AssimpFbx$_Translation
152,151,mixamorig:RightHandIndex3_$AssimpFbx$_PreRotation
153,152,mixamorig:RightHandIndex3_$AssimpFbx$_Rotation
154,153,mixamorig:RightHandIndex3
155,154,mixamorig:RightHandIndex4
156,116,mixamorig:RightHandRing1_$AssimpFbx$_Translation
157,156,mixamorig:RightHandRing1_$AssimpFbx$_PreRotation
158,157,mixamorig:RightHandRing1_$AssimpFbx$_Rotation
159,158,mixamorig:RightHandRing1
160,159,mixamorig:RightHandRing2_$AssimpFbx$_Translation
161,160,mixamorig:RightHandRing2_$AssimpFbx$_PreRotation
162,161,mixamorig:RightHandRing2_$AssimpFbx$_Rotation
163,162,mixamorig:RightHandRing2
164,163,mixamorig:RightHandRing3_$AssimpFbx$_Translation
165,164,mixamorig:RightHandRing3_$AssimpFbx$_Rotation
166,165,mixamorig:RightHandRing3
167,166,mixamorig:RightHandRing4
168,116,mixamorig:RightHandPinky1_$AssimpFbx$_Translation
169,168,mixamorig:RightHandPinky1_$AssimpFbx$_PreRotation
170,169,mixamorig:RightHandPinky1_$AssimpFbx$_Rotation
171,170,mixamorig:RightHandPinky1
172,171,mixamorig:RightHandPinky2_$AssimpFbx$_Translation
173,172,mixamorig:RightHandPinky2_$AssimpFbx$_PreRotation
174,173,mixamorig:RightHandPinky2_$AssimpFbx$_Rotation
175,174,mixamorig:RightHandPinky2
176,175,mixamorig:RightHandPinky3_$AssimpFbx$_Translation
177,176,mixamorig:RightHandPinky3_$AssimpFbx$_PreRotation
178,177,mixamorig:RightHandPinky3_$AssimpFbx$_Rotation
179,178,mixamorig:RightHandPinky3
180,179,mixamorig:RightHandPinky4
181,7,mixamorig:LeftUpLeg_$AssimpFbx$_Translation
182,181,mixamorig:LeftUpLeg_$AssimpFbx$_PreRotation
183,182,mixamorig:LeftUpLeg_$AssimpFbx$_Rotation
184,183,mixamorig:LeftUpLeg
185,184,mixamorig:LeftLeg_$AssimpFbx$_Translation
186,185,mixamorig:LeftLeg_$AssimpFbx$_PreRotation
187,186,mixamorig:LeftLeg_$AssimpFbx$_Rotation
188,187,mixamorig:LeftLeg
189,188,mixamorig:LeftFoot_$AssimpFbx$_Translation
190,189,mixamorig:LeftFoot_$AssimpFbx$_PreRotation
191,190,mixamorig:LeftFoot_$AssimpFbx$_Rotation
192,191,mixamorig:LeftFoot
193,192,mixamorig:LeftToeBase_$AssimpFbx$_Translation
194,193,mixamorig:LeftToeBase_$AssimpFbx$_PreRotation
195,194,mixamorig:LeftToeBase
196,195,mixamorig:LeftToe_End
197,7,mixamorig:RightUpLeg_$AssimpFbx$_Translation
198,197,mixamorig:RightUpLeg_$AssimpFbx$_PreRotation
199,198,mixamorig:RightUpLeg_$AssimpFbx$_Rotation
200,199,mixamorig:RightUpLeg
201,200,mixamorig:RightLeg_$AssimpFbx$_Translation
202,201,mixamorig:RightLeg_$AssimpFbx$_PreRotation
203,202,mixamorig:RightLeg_$AssimpFbx$_Rotation
204,203,mixamorig:RightLeg
205,204,mixamorig:RightFoot_$AssimpFbx$_Translation
206,205,mixamorig:RightFoot_$AssimpFbx$_PreRotation
207,206,mixamorig:RightFoot_$AssimpFbx$_Rotation
208,207,mixamorig:RightFoot
209,208,mixamorig:RightToeBase_$AssimpFbx$_Translation
210,209,mixamorig:RightToeBase_$AssimpFbx$_PreRotation
211,210,mixamorig:RightToeBase
212,211,mixamorig:RightToe_End

